slug,title,companySlug,regionCode,city,remote,urlOriginal,urlApply,salaryMin,salaryMax,currency,experience,employmentType,skills,tags,description,publishedAt,validUntil
venture-analyst-uzhhorod,Venture Analyst,zakarpattia-ventures,zakarpattia,Ужгород,true,https://jobs.junior.ua/venture-analyst-uzhhorod,https://apply.junior.ua/venture-analyst-uzhhorod,28000,40000,UAH,junior,full_time,Research|Excel|PitchDecks,finance|remote,Аналіз стартапів та підготовка звітів,2024-07-11T09:00:00.000Z,
frontend-intern-kyiv,Frontend Intern,kyiv-tech,kyiv,Київ,true,https://jobs.junior.ua/frontend-intern-kyiv,https://apply.junior.ua/frontend-intern-kyiv,0,15000,UAH,intern,internship,HTML|CSS|JavaScript,frontend|internship,Стажування в команді фронтенду,2024-07-12T09:00:00.000Z,
backend-trainee-lviv,Backend Trainee,lviv-labs,lviv,Львів,true,https://jobs.junior.ua/backend-trainee-lviv,https://apply.junior.ua/backend-trainee-lviv,0,15000,UAH,intern,internship,Node.js|PostgreSQL,backend|internship,Підтримка внутрішніх сервісів,2024-07-13T09:00:00.000Z,
ui-ux-intern-odesa,UI UX Intern,odesa-digital,odesa,Одеса,false,https://jobs.junior.ua/ui-ux-intern-odesa,https://apply.junior.ua/ui-ux-intern-odesa,0,12000,UAH,intern,internship,FIGMA|Prototyping,design|internship,Допомога дизайнерам у створенні макетів,2024-07-14T09:00:00.000Z,
marketing-assistant-dnipro,Marketing Assistant,dnipro-soft,dnipro,Дніпро,true,https://jobs.junior.ua/marketing-assistant-dnipro,https://apply.junior.ua/marketing-assistant-dnipro,20000,30000,UAH,junior,part_time,Content|Analytics,marketing|remote,Підготовка контенту та кампаній,2024-07-15T09:00:00.000Z,
tech-writer-kyiv,Technical Writer,kyiv-tech,kyiv,Київ,true,https://jobs.junior.ua/tech-writer-kyiv,https://apply.junior.ua/tech-writer-kyiv,26000,36000,UAH,junior,full_time,Docs|English|API,writing|remote,Створення технічної документації,2024-07-16T09:00:00.000Z,
product-analyst-lviv,Product Analyst,lviv-labs,lviv,Львів,false,https://jobs.junior.ua/product-analyst-lviv,https://apply.junior.ua/product-analyst-lviv,33000,47000,UAH,junior,full_time,SQL|Amplitude|Python,analytics|product,Аналіз поведінки користувачів,2024-07-17T09:00:00.000Z,
ml-intern-kharkiv,ML Intern,kharkiv-innovators,kharkiv,Харків,true,https://jobs.junior.ua/ml-intern-kharkiv,https://apply.junior.ua/ml-intern-kharkiv,0,16000,UAH,intern,internship,Python|TensorFlow|Data Prep,ml|internship,Навчальні задачі з компютерного зору,2024-07-18T09:00:00.000Z,
ml-junior-kharkiv,Junior ML Engineer,kharkiv-innovators,kharkiv,Харків,true,https://jobs.junior.ua/ml-junior-kharkiv,https://apply.junior.ua/ml-junior-kharkiv,38000,56000,UAH,junior,full_time,Python|TensorFlow|MLOps,ml|remote,Розробка моделей та автоматизація пайплайнів,2024-07-19T09:00:00.000Z,
backend-odesa,Junior Backend Developer,odesa-digital,odesa,Одеса,false,https://jobs.junior.ua/backend-odesa,https://apply.junior.ua/backend-odesa,30000,45000,UAH,junior,full_time,Node.js|MongoDB|REST,backend|onsite,Розробка API для мобільних застосунків,2024-07-20T09:00:00.000Z,
content-manager-chernihiv,Content Manager,chernihiv-data,chernihiv,Чернігів,true,https://jobs.junior.ua/content-manager-chernihiv,https://apply.junior.ua/content-manager-chernihiv,20000,30000,UAH,junior,full_time,Copywriting|SEO,marketing|remote,Підготовка матеріалів для блогу,2024-07-21T09:00:00.000Z,
robotics-intern-vinnytsia,Robotics Intern,vinnytsia-robotics,vinnytsia,Вінниця,false,https://jobs.junior.ua/robotics-intern-vinnytsia,https://apply.junior.ua/robotics-intern-vinnytsia,0,14000,UAH,intern,internship,Arduino|C++|Sensors,hardware|internship,Складання прототипів та тестування,2024-07-22T09:00:00.000Z,
cloud-engineer-zaporizhzhia,Junior Cloud Engineer,zaporizhzhia-cloud,zaporizhzhia,Запоріжжя,true,https://jobs.junior.ua/cloud-engineer-zaporizhzhia,https://apply.junior.ua/cloud-engineer-zaporizhzhia,36000,52000,UAH,junior,full_time,AWS|Terraform|CI,cloud|remote,Автоматизація інфраструктури клієнтів,2024-07-23T09:00:00.000Z,
qa-automation-poltava,QA Automation Engineer,poltava-studio,poltava,Полтава,true,https://jobs.junior.ua/qa-automation-poltava,https://apply.junior.ua/qa-automation-poltava,34000,50000,UAH,junior,full_time,JavaScript|Playwright|CI,qa|automation,Розробка автоматизованих тестів,2024-07-24T09:00:00.000Z,
security-intern-sumy,Security Intern,sumy-security,sumy,Суми,false,https://jobs.junior.ua/security-intern-sumy,https://apply.junior.ua/security-intern-sumy,0,13000,UAH,intern,internship,SOC|Linux|Python,security|internship,Стажування в центрі моніторингу,2024-07-25T09:00:00.000Z,
systems-admin-rivne,Junior Systems Administrator,rivne-systems,rivne,Рівне,false,https://jobs.junior.ua/systems-admin-rivne,https://apply.junior.ua/systems-admin-rivne,28000,42000,UAH,junior,full_time,Windows|Linux|PowerShell,devops|onsite,Підтримка офісної інфраструктури,2024-07-26T09:00:00.000Z,
venture-intern-uzhhorod,Venture Intern,zakarpattia-ventures,zakarpattia,Ужгород,true,https://jobs.junior.ua/venture-intern-uzhhorod,https://apply.junior.ua/venture-intern-uzhhorod,0,15000,UAH,intern,internship,Research|PitchDecks|Notion,finance|internship,Допомога у підготовці інвестматеріалів,2024-07-27T09:00:00.000Z,
product-coordinator-kyiv,Product Coordinator,kyiv-tech,kyiv,Київ,true,https://jobs.junior.ua/product-coordinator-kyiv,https://apply.junior.ua/product-coordinator-kyiv,32000,48000,UAH,junior,full_time,Jira|Scrum|Communication,product|remote,Координація задач між командами,2024-07-28T09:00:00.000Z,
fullstack-junior-lviv,Junior Fullstack Developer,lviv-labs,lviv,Львів,true,https://jobs.junior.ua/fullstack-junior-lviv,https://apply.junior.ua/fullstack-junior-lviv,36000,54000,UAH,junior,full_time,React|Node.js|PostgreSQL,fullstack|remote,Розробка веб платформи для клієнтів,2024-07-29T09:00:00.000Z,
mobile-intern-odesa,Mobile Intern,odesa-digital,odesa,Одеса,false,https://jobs.junior.ua/mobile-intern-odesa,https://apply.junior.ua/mobile-intern-odesa,0,14000,UAH,intern,internship,Flutter|Dart|UI,android|internship,Стажування у мобільній команді,2024-07-30T09:00:00.000Z,
backend-golang-dnipro,Junior Go Developer,dnipro-soft,dnipro,Дніпро,true,https://jobs.junior.ua/backend-golang-dnipro,https://apply.junior.ua/backend-golang-dnipro,38000,56000,UAH,junior,full_time,Go|gRPC|Docker,backend|remote,Розробка мікросервісів на Go,2024-07-31T09:00:00.000Z,
devops-trainee-kyiv,DevOps Trainee,kyiv-tech,kyiv,Київ,true,https://jobs.junior.ua/devops-trainee-kyiv,https://apply.junior.ua/devops-trainee-kyiv,0,16000,UAH,intern,internship,Docker|CI|Linux,devops|internship,Автоматизація процесів розгортання,2024-08-01T09:00:00.000Z,
data-engineer-junior-chernihiv,Junior Data Engineer,chernihiv-data,chernihiv,Чернігів,true,https://jobs.junior.ua/data-engineer-junior-chernihiv,https://apply.junior.ua/data-engineer-junior-chernihiv,36000,52000,UAH,junior,full_time,Python|Airflow|ETL,data|remote,Побудова пайплайнів даних,2024-08-02T09:00:00.000Z,
robotics-ml-vinnytsia,Junior Robotics ML Engineer,vinnytsia-robotics,vinnytsia,Вінниця,false,https://jobs.junior.ua/robotics-ml-vinnytsia,https://apply.junior.ua/robotics-ml-vinnytsia,38000,56000,UAH,junior,full_time,Python|ComputerVision|C++,hardware|ml,Алгоритми навігації для роботів,2024-08-03T09:00:00.000Z,
cloud-consultant-zaporizhzhia,Cloud Consultant,zaporizhzhia-cloud,zaporizhzhia,Запоріжжя,true,https://jobs.junior.ua/cloud-consultant-zaporizhzhia,https://apply.junior.ua/cloud-consultant-zaporizhzhia,40000,60000,UAH,junior,full_time,Azure|Kubernetes|IaC,cloud|consulting,Побудова архітектурних рішень для клієнтів,2024-08-04T09:00:00.000Z,
seo-specialist-poltava,Junior SEO Specialist,poltava-studio,poltava,Полтава,true,https://jobs.junior.ua/seo-specialist-poltava,https://apply.junior.ua/seo-specialist-poltava,22000,32000,UAH,junior,full_time,SEO|GoogleAnalytics|Content,marketing|remote,Оптимізація контенту під пошукові системи,2024-08-05T09:00:00.000Z,
cybersecurity-analyst-sumy,Cybersecurity Analyst,sumy-security,sumy,Суми,true,https://jobs.junior.ua/cybersecurity-analyst-sumy,https://apply.junior.ua/cybersecurity-analyst-sumy,38000,56000,UAH,junior,full_time,SOC|IncidentResponse|Python,security|remote,Розслідування інцидентів безпеки,2024-08-06T09:00:00.000Z,
helpdesk-rivne,Helpdesk Specialist,rivne-systems,rivne,Рівне,false,https://jobs.junior.ua/helpdesk-rivne,https://apply.junior.ua/helpdesk-rivne,20000,30000,UAH,junior,full_time,Support|Windows|Office,helpdesk|onsite,Допомога працівникам з технікою,2024-08-07T09:00:00.000Z,
venture-analyst-middle,Venture Analyst Middle,zakarpattia-ventures,zakarpattia,Ужгород,true,https://jobs.junior.ua/venture-analyst-middle,https://apply.junior.ua/venture-analyst-middle,42000,62000,UAH,middle,full_time,Research|FinancialModeling|PitchDecks,finance|remote,Підтримка портфельних компаній,2024-08-08T09:00:00.000Z,
